"","nombre.de.clase.de.la.actividad","codigo.de.la.clase.de.actividad.scian","N"
"1","Cafeterías, fuentes de sodas, neverías, refresquerías y similares","722515",58639
"2","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","722517",55029
"3","Servicios de preparación de alimentos para ocasiones especiales","722320",1066
"4","Restaurantes con servicio de preparación de antojitos","722513",117594
"5","Restaurantes que preparan otro tipo de alimentos para llevar","722518",45204
"6","Restaurantes con servicio de preparación de tacos y tortas","722514",113526
"7","Servicios de preparación de otros alimentos para consumo inmediato","722519",44005
"8","Departamentos y casas amueblados con servicios de hotelería","721312",488
"9","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","722511",58195
"10","Restaurantes con servicio de preparación de pescados y mariscos","722512",18365
"11","Restaurantes de autoservicio","722516",4502
"12","Bares, cantinas y similares","722412",26510
"13","Cabañas, villas y similares","721190",1255
"14","Centros nocturnos, discotecas y similares","722411",1828
"15","Campamentos y albergues recreativos","721210",152
"16","Hoteles con otros servicios integrados","721111",5600
"17","Pensiones y casas de huéspedes","721311",2813
"18","Hoteles sin otros servicios integrados","721112",10989
"19","Servicios de comedor para empresas e instituciones","722310",471
"20","Moteles","721113",2631
"21","Servicios de preparación de alimentos en unidades móviles","722330",4
